word;freq
toinen;25
kolmas;20
hyvä;18
eniten;14
Eurooppa;12
kaupunki;12
OECD-maa;10
EU;8
Helsinki;7
EU-maa;6
kohti;6
asukas;5
neljäs;5
paras;5
suuri;5
tyytyväinen;5
vähiten;5
hyvinvointi;4
ihminen;4
luottamus;4
aikuinen;3
digitaalinen;3
joukko;3
lapsi;3
ohi;3
parasta;3
parhaiten;3
pieni;3
viides;3
yritys;3
15-vuotiaat;2
alhainen;2
alla;2
elämäänsä;2
energia;2
eurooppalainen;2
Helsinkiläiset;2
henki;2
inhimillinen;2
jälki;2
juopa;2
kansalainen;2
kärkimaa;2
kilpailukyky;2
muu;2
ohella;2
oikeudenmukainen;2
osuus;2
pääkaupunki;2
parhaat;2
poliisi;2
puhdas;2
ruotsi;2
sekä;2
Tanska;2
tasa-arvoisin;2
teknologia;2
työelämä;2
yleinen;2
yritystoiminta;2
äänestää;1
ahkera;1
äiti;1
äitiyskuolema;1
aktiivinen;1
ala;1
alipainoinen;1
altistua;1
asu;1
asuinpaikkaansa;1
asumiseensa;1
Bahrain;1
eettinen;1
elää;1
eläkejärjestelmä;1
elinajanodote;1
elinikäinen;1
englanti;1
ero;1
hallintosuomi;1
hankkimisessa;1
harrastava;1
harvinainen;1
helppo;1
Helsingissä;1
Helsinki-Vantaan;1
henkilökohtainen;1
houkutteleva;1
hyödyntä;1
ikäinen;1
ilmaa;1
imeväiskuolleisuus;1
innovaatio;1
islanti;1
islantilainen;1
jakautunut;1
järjestäytynyt;1
järjestelmä;1
joka;1
julkinen;1
kahvi;1
kansanedustajina;1
kärki;1
kasvulle;1
käyttää;1
käyttäjiä;1
kehitysmyönteinen;1
kesäolympiamitali;1
kestävä;1
kieli;1
kirjasto;1
kohden;1
kokea;1
kokonaiskuolleisuus;1
kokonaisuus;1
kolmanneksi;1
korruptiota;1
koulutuksessa;1
koulutus;1
köyhä;1
köyhyysastesuomi;1
Kreikka;1
kuin;1
kulttuuripalveluihin;1
kuluttaja;1
kuolleet;1
kuudes;1
laajakaistaliittymä;1
läheinen;1
laillisuusperiaate;1
langaton;1
lapsille;1
lapsuussuomalainen;1
laskutaito;1
lehdistönvapaussuomi;1
lentokenttä;1
liiketoiminta;1
liikkua;1
Liikuntaa;1
liittymä;1
loppukulutus;1
luku;1
lukutaito;1
lukutaitoinen;1
luonnononnettomuus;1
luonnontieteissä;1
luonnontietie;1
luotettava;1
luottaa;1
maito;1
metalliyhtye;1
metsä;1
miellyttävä;1
mikä;1
mobiilidata;1
nainen;1
neljäsluokkalainen;1
norja;1
norjalainen;1
noudattamisessa;1
nuora;1
oikeusjärjestelmä;1
oikeuslaitossuomi;1
oma;1
omistusoikeus;1
onnellinen;1
oppia;1
osaamispääomasuomi;1
osaava;1
osallistua;1
osata;1
pääoma;1
palvelut;1
pankit;1
passi;1
perusoikeus;1
pieniä;1
poliittinen;1
politiikkatoimi;1
Príncipen;1
puola;1
rehellinen;1
riippumaton;1
rikas;1
rikka;1
rikollisuutta;1
Riski;1
Saari;1
saatavuus;1
samanikäinen;1
São;1
sattua;1
sijoittua;1
Singapore;1
sisäinen;1
soittaa;1
sosiaalinen;1
startup-yrityksille;1
suhde;1
sukupuola;1
sukupuoli;1
suoja;1
suojelemisessa;1
suurintasuomi;1
syntyä;1
syöpään;1
taito;1
talous;1
talousympäristö;1
tarve;1
tarvittaessa;1
tasa-arvo;1
tasa-arvoisimmin;1
tasa-arvoisinta;1
tieto;1
tilata;1
toimintatapa;1
Tomén;1
tukea;1
tukeva;1
tukholmalainen;1
tulevaisuus;1
tuloerot;1
tupakointi;1
turvallinen;1
turvallisuus;1
turvattomuus;1
turvattu;1
turvautua;1
työvoima;1
tyttösuomi;1
uusiutuva;1
uutinen;1
vaaleissa;1
vahva;1
vahvinta;1
vahvistaa;1
vaikutusvaltaisin;1
vakaa;1
vakain;1
valinta;1
valta;1
valtiosuomi;1
vapa;1
vapaa;1
vapaus;1
vapautta;1
vasta;1
vastasyntynyt;1
verkkosivut;1
vesivaroilta;1
viestintätekniikka;1
viranomaistieto;1
vuosi;1
yrittäjiä;1
